Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI574455,SC,2013,1,NA,106,1482,21.7,34.3,5.66,15.8,4117,2.53,61.89,50.1,1460,13.05,9.95,13.31,9.84,0.336,4.15,12.14,66.5,17.32
PI576130,SC,2013,1,71,298,2699,21.1,61.8,4.17,12.9,3992,2.29,30.79,48.8,1162,11.76,11.03,8.37,6.46,0.277,3.56,8.02,74.9,14.71
PI576332,SC,2013,1,57,106,896,16.1,17.7,6.83,17.8,4152,2.66,45.22,45.1,1548,14.38,11.02,10.63,10.39,0.362,5.42,12.76,66.8,18.86
PI576333,SC,2013,1,NA,109,2114,18.8,42.5,4.57,12,4125,3,36.19,46.6,1520,14.06,10.51,10,9.55,0.344,4.83,11.99,70.5,18.03
PI576337,SC,2013,1,69,151,754,14.4,12.5,7.83,17.1,4246,3.82,57.99,47.7,1968,16.23,10.52,8.83,12.02,0.432,5.53,14.75,63.4,23.66
PI576339,SC,2013,1,61,135,1148,22.3,25.5,4.64,14.4,4084,2.62,39,52.1,1494,14.49,10.61,8.73,9.43,0.331,4.3,11.85,72.1,18.78
PI576340,SC,2013,1,68,170,959,26.5,26.4,4.6,12.7,4049,2.27,28.53,45.2,1300,12.09,11.07,9.43,7.73,0.308,4.28,9.86,74.3,14.66
PI576345,SC,2013,1,66,152,1924,25.8,50.1,5.69,17.7,4068,1.73,43.81,55.3,1608,14.68,10.13,11.25,9.55,0.359,3.81,12.07,65.7,20.01
PI576347,SC,2013,1,69,158,929,19.3,18.9,6.4,16.2,4133,3.43,49.27,50.4,1547,14.44,10.85,6.88,9.79,0.363,4.94,11.88,66.5,21.51
PI576348,SC,2013,1,73,157,145,16.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576349,SC,2013,1,66,153,477,9.5,6.2,7.89,18.3,4262,4.03,61.02,46.1,1941,17.06,10.62,10.03,12.28,0.428,5.95,15.06,62.6,24.54
PI576350,SC,2013,1,55,152,447,18.5,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576352,SC,2013,1,61,98,1276,22,28.7,5.66,19.3,4133,2.93,41.96,52.7,1676,15.14,10.67,8.56,10.36,0.362,4.65,12.88,68.9,19.88
PI576359,SC,2013,1,75,210,1186,16.8,20.8,5.06,16,4161,3.81,50.16,51.7,1724,15.58,10.78,6.58,10.33,0.387,4.93,12.79,67.6,23.52
PI576364,SC,2013,1,64,111,1592,15.4,25.4,7.57,17.6,4155,3.11,43.49,45.4,1503,13.35,10.74,11.55,9.23,0.345,4.65,11.19,66.7,17.37
PI576366,SC,2013,1,57,86,1158,16.2,20.1,7.18,17.4,4157,2.92,45.93,49.4,1641,14.16,10.69,10.34,10.33,0.358,4.77,12.59,68.2,19.45
PI576373,SC,2013,1,69,101,1176,22.4,25.4,6.59,18,4116,2.72,42.95,48.4,1486,15.79,11,7.59,10.63,0.361,5.22,13.18,68.6,21.24
PI576375,SC,2013,1,69,152,819,24.1,21.4,5.58,15.2,4112,2.49,37.88,50.1,1609,14.99,11,7.65,10.82,0.364,5.09,13.25,68.6,20.51
PI576376,SC,2013,1,68,103,1312,24.1,31.7,6.08,14.1,4143,2.88,54.84,51.6,1744,16.1,10.76,7.19,11.2,0.391,5.3,13.67,65.4,23.57
PI576380,SC,2013,1,71,130,698,31.7,22.8,5.6,19.4,4123,2.26,60.02,49.6,1623,13.96,10.11,10.73,10.8,0.376,4.62,13.69,67,19.13
PI576381,SC,2013,1,66,104,964,18.9,18.3,6.79,14,4096,2,47.61,54.2,1596,16.41,10.86,8.8,10.84,0.356,5.02,13.13,65.7,23.29
PI576385,SC,2013,1,61,182,685,26.2,18.2,6.16,15.7,4101,2.28,45.89,54.6,1601,17.21,10.86,6.67,11.2,0.365,5.19,13.76,67,24.4
PI576386,SC,2013,1,75,114,624,27.8,17.9,5.96,17.4,4109,2.9,35.14,46.7,1523,13.18,11,8.59,8.73,0.343,4.5,10.75,68.9,17.21
PI576387,SC,2013,1,64,136,870,21.4,21.9,5.03,21.1,4160,3.09,51.06,49.3,1752,14.95,10.54,8.7,10.78,0.382,4.58,13.15,67,20.04
PI576390,SC,2013,1,68,133,761,25.1,22.9,6.21,15.6,4111,2.54,56.02,50,1378,13.04,10.17,12.3,9.34,0.33,4.15,11.4,66.9,17.57
PI576391,SC,2013,1,82,151,1878,13.3,28,7.21,19.9,4105,2.01,47.69,46.5,1453,14.51,11.13,9.49,10.89,0.354,5.29,13.39,67.5,19.7
PI576393,SC,2013,1,64,95,1718,16.5,27.6,8.01,17.8,4157,2.93,51.82,47.5,1607,15.12,10.82,10.64,10.08,0.367,5.19,12.12,64.8,20.49
PI576394,SC,2013,1,64,129,1384,17.6,26.5,4.59,15.5,4097,3.35,39.25,50.5,1444,14.57,10.95,6.8,8.46,0.329,4.16,10.42,71.5,18.93
PI576396,SC,2013,1,69,111,1185,25.5,31.5,6,18.6,4089,2.09,37.27,50.4,1375,10.91,9.92,13.76,7.77,0.322,2.96,9.99,71,12.82
PI576399,SC,2013,1,57,184,1050,15.2,17.7,6.36,15.8,4132,2.89,34.57,46.3,1591,12.88,10.76,10.19,8.66,0.35,4.61,10.99,70.9,16.08
PI576401,SC,2013,1,NA,166,991,29.1,29.8,5.2,15.8,4134,3.02,49.39,47,1668,14.58,10.41,9.06,9.85,0.385,4.84,12.6,67.2,18.51
PI576418,SC,2013,1,72,156,954,16.7,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576422,SC,2013,1,69,112,1672,21.3,36.9,4.7,17.5,4089,2.82,45.49,50,1476,14.33,10.74,8.91,9.45,0.338,4.34,11.67,69.7,19.15
PI576425,SC,2013,1,69,123,1224,27.2,34.5,7.92,17.1,4134,1.9,47.53,45.8,1558,14.39,11.17,11.05,10.69,0.355,5.34,12.8,65.9,18.77
PI576426,SC,2013,1,75,116,1846,24.5,47.9,5.56,14.6,4037,1.81,29.69,49.9,1423,13.2,11.3,6.78,8.49,0.325,4.26,10.55,71.6,16.98
PI576428,SC,2013,1,68,146,1413,29.6,46.7,5.85,17.3,4089,2.27,45.64,51.1,1469,14.38,10.82,9.9,9.75,0.332,4.41,11.71,67.3,19.79
PI576434,SC,2013,1,NA,235,1275,31.5,41.2,4.52,13.3,4038,2.28,30.96,45.3,1338,12.97,11.18,8.17,7.99,0.323,4.61,10.24,71.3,16.32
PI576435,SC,2013,1,69,138,2532,20.3,55.8,4.26,18.6,4089,2.76,43.23,52.3,1517,13.38,10.8,7.26,9.04,0.341,4.3,10.98,69.9,19.36
PI576437,SC,2013,1,69,196,847,14.6,13.5,7.58,16.3,4097,3.07,53.65,51.4,1593,15.86,10.93,7.43,10.34,0.385,5.45,12.37,62.7,24.07
PI585291,SC,2013,1,66,120,875,19.2,17.7,6.14,10.2,4135,3.27,49.39,53.6,1693,17.27,10.78,7.47,10.08,0.382,4.85,12.34,65.6,25.66
PI585295,SC,2013,1,75,101,1047,21.5,26.2,6.56,5.1,4157,2.82,61.5,51.5,1658,17.19,10.16,10.38,11.91,0.391,5.39,15.02,63.1,23.12
PI595699,SC,2013,1,68,100,1327,19.9,30.2,6.69,14.8,4094,1.47,32.92,53.6,1640,13.23,10.29,12.03,9.96,0.322,3.82,12.17,70.7,17.53
PI595702,SC,2013,1,61,161,899,15.1,16.1,7.87,20.9,4136,2.86,46.89,49.5,1588,14.59,11,9.42,9.85,0.356,4.83,11.81,66.9,20.61
PI595714,SC,2013,1,NA,79,1962,21.7,40.9,5.82,17,4047,1.99,38.88,52.5,1373,13.22,11.06,7.84,8.63,0.324,4.36,10.6,69.4,18.73
PI595718,SC,2013,1,55,107,1800,17.4,32.7,5.16,16,4101,2.44,43.11,47.8,1471,14.86,11.08,8.13,10.41,0.351,5.19,12.83,67.9,19.82
PI595720,SC,2013,1,66,210,1481,24.4,38.2,5.1,16.9,4032,2.07,39.96,52.2,1411,14.28,11.06,7.1,9.13,0.331,4.31,11.19,70.7,19.33
PI595739,SC,2013,1,66,104,898,24.7,24,5.22,12.3,4212,3.76,62.57,50.3,1880,16.41,10.3,8.51,11.5,0.409,5.26,14.27,66.3,22.76
PI595740,SC,2013,1,NA,152,1086,24.7,27.1,7.06,15.2,4183,3.44,49.41,45.5,1487,13.94,9.94,14.06,9.55,0.337,4.62,11.79,67.2,18.28
PI595741,SC,2013,1,57,118,2106,11,26.2,4.22,17.6,4110,3.38,41.74,53.1,1654,13.35,10.6,7.9,9.02,0.354,4.19,11.13,69.2,19.35
PI595743,SC,2013,1,NA,83,691,20.4,16,6.45,20.2,4128,2.47,40.01,45.7,1512,14.08,11.12,9.78,9.83,0.345,5.2,12.14,68.3,18.27
PI595744,SC,2013,1,66,133,954,19.8,18.1,4.52,17.9,4073,2.37,41.58,49.9,1418,14.19,10.97,7.2,9.56,0.333,4.5,11.87,70.6,19.3
PI595745,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597945,SC,2013,1,69,158,1029,21,21.1,5.23,11.1,4030,2.01,33.79,55.3,1543,15.82,10.92,6.75,8.83,0.359,4.21,11.08,67.5,22.37
PI597946,SC,2013,1,61,130,1628,18,30.7,6.51,14.9,4172,3.46,52.28,49.7,1649,15.12,10.55,9.73,10.42,0.372,4.83,12.78,67.5,20.99
PI597949,SC,2013,1,75,123,1695,12.9,22,5.18,17.9,4160,3.11,56.79,51,1693,13.27,9.7,11.79,10.29,0.377,4.11,13,68.2,17.31
PI597950,SC,2013,1,64,168,1479,14.6,22.2,4.41,9.1,4035,2.64,45.28,55.5,1506,17.36,11.26,6.62,7.27,0.354,3.69,9.53,71.9,25.82
PI597951,SC,2013,1,57,164,NA,NA,NA,4.78,16,4002,1.89,33.92,54.2,1305,13.82,11.14,6.89,7.96,0.309,3.94,9.77,71.5,20.03
PI597952,SC,2013,1,61,101,2513,18.8,49,7.3,17.8,4098,2.71,46.48,51.2,1530,14.38,10.89,7.66,9.83,0.357,4.67,12.07,67.8,20.02
PI597957,SC,2013,1,66,99,1268,20.2,25.8,4.45,16.3,4066,2.4,41.84,51.3,1442,14.98,10.95,8.03,9.45,0.329,4.66,11.49,69.4,19.86
PI597958,SC,2013,1,66,102,1106,20.4,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597960,SC,2013,1,69,98,861,22,22.5,6.24,16.9,4116,2.23,47.34,53.9,1772,16.29,10.59,7.84,11.64,0.386,5.05,14.53,68.4,23.31
PI597961,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597964,SC,2013,1,68,129,1362,31.6,43.4,5.77,17.9,4079,2.67,35.95,46.4,1395,12.58,10.82,10.07,8.13,0.325,4.01,9.91,70.1,16.03
PI597965,SC,2013,1,66,124,1189,24.1,33.3,6.54,17.6,4058,2.09,43.18,50.8,1338,14.43,11.08,8.46,9.41,0.333,4.62,11.48,69.3,19.36
PI597966,SC,2013,1,64,109,1952,17.8,37.7,5.91,19.3,4049,2.18,39.24,49.4,1306,13.35,11.17,8.46,8.47,0.317,4.41,10.22,69.2,17.24
PI597967,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597968,SC,2013,1,64,136,1185,25.7,30.3,7.7,17.3,4105,2.2,47.21,52.9,1631,15.18,11.04,7.38,10.83,0.364,4.94,13.19,67.2,23.19
PI597971,SC,2013,1,69,124,1530,17,25.8,8.49,16.9,4185,3.49,56.91,48.9,1716,16.92,10.58,9.84,11.65,0.397,5.56,14.27,63.2,24.2
PI597972,SC,2013,1,64,139,1136,36.4,44.2,6.61,12.5,4105,2.49,35.68,46.9,1456,13.84,10.87,9.31,9.29,0.337,4.67,11.54,70.3,17.79
PI597973,SC,2013,1,71,150,172,28.4,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597976,SC,2013,1,64,235,1781,23.6,44.9,5.38,17.2,4112,2.97,54.56,50.5,1526,14.85,10.7,7.55,9.7,0.341,4.58,11.68,68.1,20.75
PI597980,SC,2013,1,55,119,1930,21.8,41.2,6.73,17.5,4148,2.93,41.99,48.2,1670,15.27,10.86,8.64,10.94,0.387,5.43,13.57,66.7,20.49
PI597982,SC,2013,1,55,156,908,30.5,29.8,6.74,16,4153,2.59,46.61,44.5,1555,14.07,10.79,11.75,10.45,0.352,5.37,12.85,68.6,18.2
PI598069,SC,2013,1,78,292,572,19.9,11.9,6.39,19.4,4126,2.9,45.12,46.7,1505,13.81,10.88,9.9,9.54,0.352,4.67,11.59,67.5,18.82
PI598070,SC,2013,1,NA,304,498,21.8,12.2,4.67,18.7,4177,3.15,56.25,49.3,1844,15.31,10.66,7.43,11.42,0.408,5.32,14.17,66.7,22.61
PI601816,SC,2013,1,71,190,784,32.9,26.5,4.96,16,4042,2.44,36.65,46.8,1269,12.59,10.86,8.77,7.53,0.309,4.11,9.41,71.4,15.85
PI607931,SC,2013,1,69,131,1377,25.9,35.6,5.24,15.2,4094,2.81,47.71,51,1463,14.79,10.91,8.11,9.79,0.347,4.71,12.01,68.3,20.21
PI609456,SC,2013,1,96,404,98,7.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI613536,SC,2013,1,61,127,528,37.7,22.8,7.17,17.2,4102,1.29,54.32,56.3,1816,15.13,9.84,13.17,11.32,0.373,4.23,14.09,62.7,21.17
PI629034,SC,2013,1,68,102,1753,23.7,41.7,4.81,19.4,4063,2.41,43.03,51.9,1412,12.48,10.39,10.8,8.47,0.312,3.46,10.13,71.2,15.63
PI629040,SC,2013,1,66,110,2437,16.6,41.6,4.9,14.7,4045,2.23,35.92,54.2,1523,14.58,11.03,7.32,8.71,0.338,4.33,10.69,68.9,20.91
PI629059,SC,2013,1,69,112,4024,15.6,64.1,5.01,14.8,4055,2.5,38.49,51.4,1491,12.98,10.89,7.2,8.17,0.338,4.14,10.17,70.2,18.08
PI641824,SC,2013,1,71,287,886,16.6,15.8,6.76,19.1,4192,4.2,52.31,45.4,1682,13.78,10.5,9.96,8.91,0.368,4.6,10.99,67.5,19.15
PI641836,SC,2013,1,75,294,1612,19.6,33.8,7.69,17.1,4130,3.02,49.45,45.7,1517,11.3,10.44,14.39,7.75,0.336,4.21,9.8,69.7,13.08
PI641849,SC,2013,1,52,229,1027,25.9,27.5,7.02,17.4,4217,4.11,50.37,44.9,1720,14.97,10.64,9.71,9.81,0.38,4.88,12.08,66.6,20.19
PI641874,SC,2013,1,66,102,1550,27.1,41.8,5.11,10.8,4055,1.77,38.78,54.4,1521,15.85,10.77,7.37,9.74,0.35,4.45,12.17,70.5,21.77
PI642791,SC,2013,1,73,105,1118,14.5,16.8,5.54,17.5,4084,2.02,37.88,47.7,1496,14.34,11,8.78,10.09,0.347,4.81,12.4,68.6,18.15
PI642793,SC,2013,1,66,105,1450,16.7,22.7,5.54,16,4105,2.58,42.28,48.5,1494,15.13,10.89,7.97,10.83,0.359,5.2,13.33,67.7,21.15
PI642992,SC,2013,1,69,254,1664,30.9,55.3,5.81,18.6,4103,2.71,39.57,46.2,1431,13.63,11.12,8.32,9.11,0.34,4.8,11.4,69.5,18.22
PI642998,SC,2013,1,69,291,1411,18.1,25.6,7.28,15.5,4201,3.98,56.96,44.8,1769,15.61,10.64,9.35,10.43,0.412,5.47,13.14,65.8,21.59
PI651492,SC,2013,1,96,299,973,12,13.7,7.15,14.6,4076,2.15,50.67,45,1482,14.28,11.06,10.04,9.16,0.362,5.16,11.25,65.6,19.19
PI651496,SC,2013,1,75,325,2148,21.9,48.4,7.19,19,4054,1.94,43.57,42.7,1488,13.46,11.31,10.36,8.84,0.357,5.38,10.71,66.8,16.71
PI653616,SC,2013,1,80,269,705,16.7,13.2,7.08,17.7,4129,3.02,45.2,44.2,1584,14.51,11.02,9.6,9.44,0.37,5.04,11.53,66.1,19.3
PI653617,SC,2013,1,67,308,1373,20.8,30.4,6.81,20.5,4167,3.44,51.48,46.4,1656,14.76,10.84,9.32,9.75,0.371,4.92,11.78,67,20.19
PI655970,SC,2013,1,68,215,1319,26.4,39.5,5.06,18.4,4131,3.33,37.27,48.7,1637,14.79,10.96,6.89,10.12,0.364,5.04,12.44,68.6,20.89
PI655971,SC,2013,1,62,137,888,28.4,25.6,5.26,13.4,4100,2.74,41.68,54.2,1713,16.58,10.89,5.6,10.29,0.388,5.06,12.93,67.6,23.45
PI655972,SC,2013,1,61,220,1547,21.1,37,5.52,17.9,4175,3.47,59.06,51.6,1693,14.83,9.87,11.8,10.23,0.369,4.3,12.75,66.7,20.48
PI655973,SC,2013,1,66,218,1615,36.7,61.6,5.92,10.5,4097,2.79,40.07,53.9,1549,15.38,10.7,8.07,9.27,0.352,4.51,11.62,70.2,22
PI655974,SC,2013,1,66,216,1500,26.7,40.5,4.81,18.7,4098,2.97,41.84,50.5,1545,13.55,10.58,10.37,8.66,0.335,4.14,10.75,69.6,17.27
PI655975,SC,2013,1,61,107,1233,24.8,32.5,4.87,20.7,4103,2.32,41.6,53.7,1566,11.92,10.52,11.67,8.94,0.34,3.72,11.41,70.2,14.74
PI655976,SC,2013,1,55,199,2155,20.4,44.7,4.74,15.8,4104,2.73,31.86,45.5,1473,13.08,11.25,7.93,8.88,0.336,4.85,10.99,71.6,16.43
PI655977,SC,2013,1,66,74,1427,18.2,26,6.44,16.2,4115,2.57,52.25,49.2,1400,13.94,10.15,12.4,9.7,0.334,4.24,11.93,67.1,18.02
PI655978,SC,2013,1,66,134,1273,27.7,33.9,5.06,13.9,4110,2.72,58.5,51.1,1585,15.16,10.59,9.68,10.31,0.35,4.75,12.36,68.2,21.26
PI655979,SC,2013,1,73,105,1663,19.6,31.7,4.85,11.2,4088,2.92,46.84,50.7,1470,13.44,10.75,8.47,8.46,0.328,4.28,10.29,70.6,18.63
PI655980,SC,2013,1,68,285,285,18.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655981,SC,2013,1,66,316,1960,26.3,53.2,5.82,16.8,4106,3.01,49.13,49.9,1487,14.08,10.94,7.11,9.67,0.352,4.81,11.73,67.7,20.97
PI655982,SC,2013,1,61,87,1426,14.3,22.3,7.36,14.6,4088,1.41,53.95,54,1750,16.64,10.61,9.92,12,0.394,5.3,14.77,61.6,24.4
PI655983,SC,2013,1,NA,308,1626,17.6,28.9,6.78,18.4,4093,2.54,41.38,42.7,1438,13.12,11.36,10.33,8.3,0.337,4.98,10.1,69.1,16.5
PI655984,SC,2013,1,61,174,1436,22.9,32.2,7.03,17.6,4120,2.59,50.18,50.6,1611,16.27,10.96,7.87,11.42,0.389,5.41,14.24,67.3,23.04
PI655985,SC,2013,1,64,119,2938,21.3,61.8,4.79,13.7,4095,2.32,45.73,51.5,1586,15.08,10.7,8.21,10.17,0.364,4.82,12.59,68.9,20.68
PI655986,SC,2013,1,73,120,991,26.4,27.8,4.18,17.4,4101,2.53,47.37,51.5,1461,14.41,10.38,10.64,9.87,0.336,4.37,12.17,69.5,18.22
PI655987,SC,2013,1,64,134,1622,28.6,50,6.06,20.3,4140,2.32,50.14,49.8,1488,14.34,9.79,13.38,11.31,0.345,4.51,13.95,68.2,18.7
PI655988,SC,2013,1,66,136,1321,24.2,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655989,SC,2013,1,64,144,1489,24.9,36.9,5.48,18.7,4112,2.67,44.13,51.6,1604,14.62,10.75,8.77,10.15,0.36,4.49,12.43,67.6,20.05
PI655990,SC,2013,1,66,113,1323,24.1,30.8,4.12,14.4,4033,2.17,35.81,50.4,1350,13.74,11.1,8.37,8.2,0.316,4.18,10.13,71.5,17.28
PI655991,SC,2013,1,66,141,1317,26.5,36.3,5.08,18.1,4075,2.62,36.79,49.2,1413,13.26,10.83,9.26,8.68,0.325,4.17,10.87,70.5,17.33
PI655992,SC,2013,1,69,143,1428,20.1,29.4,4.05,16.2,4036,2.48,26.96,47.6,1336,12.32,11.08,8.24,7.66,0.314,4.11,9.62,72.4,15.24
PI655993,SC,2013,1,64,120,1667,26.6,45.7,4.99,18.5,4095,2.43,34.43,48.5,1509,14,11.15,8.45,9.82,0.339,4.94,11.96,70.5,18.3
PI655994,SC,2013,1,64,218,1345,18.7,24.3,6.67,16.9,4131,3.23,44.24,48.4,1458,13.92,10.91,9.6,8.95,0.337,4.5,10.88,68.3,18.8
PI655995,SC,2013,1,NA,125,1497,23.1,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655996,SC,2013,1,69,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655997,SC,2013,1,71,103,819,25.4,24.7,5.27,15.2,4103,2.48,38.05,49.5,1565,15.01,11.13,6.97,10.48,0.362,5.04,13.1,69.5,20.4
PI655998,SC,2013,1,66,87,1386,22.4,33.6,5.1,18.7,4088,2.59,41.22,52.4,1532,14.44,10.61,10.11,9.33,0.338,4.05,11.43,69.4,19.06
PI655999,SC,2013,1,NA,268,528,15.4,9.3,7.32,17.7,4168,3.02,55.05,50.3,1636,16.57,11.02,8.06,11.35,0.374,5.42,13.71,67.1,23.44
PI656000,SC,2013,1,68,138,1474,19.9,38,5.02,16.7,4140,3.24,52.43,49.3,1684,15.47,10.49,9.41,10.16,0.369,4.7,12.42,66.6,20.85
PI656001,SC,2013,1,75,116,1744,19,34.9,4.24,12,4066,2.79,32.08,46.2,1318,12.88,11.27,8.04,7.73,0.316,4.45,9.54,71.7,16.84
PI656002,SC,2013,1,69,109,1887,22.9,45.2,4.83,15.2,4068,2.73,42.49,51.9,1476,13.97,10.93,7.64,8.96,0.335,4.29,11.05,70.5,18.63
PI656003,SC,2013,1,64,164,2534,15.9,42.9,7.17,15.5,4168,3.84,47.99,46.4,1551,13.54,10.3,12.7,8.61,0.34,4.16,10.34,67.2,18.13
PI656004,SC,2013,1,66,109,1092,17.3,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656005,SC,2013,1,64,108,2155,13.9,36.1,5.64,18.5,4133,2.69,43.09,50,1611,14.73,10.75,9.51,10.85,0.358,4.95,13.27,67.5,19.95
PI656006,SC,2013,1,68,194,1889,24.7,47.6,4.51,17.1,4072,3.15,32.9,50,1415,12.81,10.88,9.11,7.73,0.311,3.84,9.29,70.9,16.61
PI656007,SC,2013,1,62,114,1544,19.4,31.3,4.85,17.7,4123,2.72,43.8,47.4,1475,13.84,10.24,11.94,9.67,0.34,4.47,12.01,68.5,18.15
PI656008,SC,2013,1,68,188,2141,33.4,71.8,4.66,19.8,4068,2.21,54.15,48.8,1338,12.21,10.09,11.42,8.61,0.313,3.77,10.73,70.2,15.1
PI656009,SC,2013,1,80,109,999,19.5,20.1,4.72,17.1,4087,2.67,41.29,49.1,1523,14.63,11,7.64,9.84,0.355,4.61,12.18,68.8,20.01
PI656010,SC,2013,1,69,109,985,23.7,24.3,4.12,13.3,4045,2.41,28.44,47.2,1320,12.13,10.92,9.61,7.55,0.298,3.94,9.35,74.6,15.03
PI656011,SC,2013,1,NA,165,1622,23.5,38,4.26,15.7,4104,2.81,39.2,48.2,1500,15.54,10.81,8.44,10.45,0.344,5.3,12.61,69.3,20.51
PI656012,SC,2013,1,80,164,1409,30.9,45.1,4.87,16.5,4079,2.33,33.04,48.7,1529,14.02,11.27,7.25,9.65,0.342,4.81,11.81,70.8,18.54
PI656013,SC,2013,1,69,254,1165,23.3,30.9,5.94,12.9,4175,4,43.56,45.7,1537,13.66,10.61,9.83,8.52,0.346,4.42,10.6,68.3,18.53
PI656014,SC,2013,1,71,253,905,17.3,19.1,6.35,17.5,4266,4.69,52.99,44.3,1855,15.03,10.29,10.98,10.64,0.412,5.47,13.3,64.5,20.67
PI656015,SC,2013,1,61,232,1384,27.3,34.5,6.9,18.3,4107,2.47,44.39,53,1665,15.68,10.79,7.41,10.97,0.38,5.22,13.6,67.4,22.79
PI656016,SC,2013,1,71,119,1586,22.2,31.7,4.59,15.6,4138,3.01,53.06,50.9,1491,14.01,9.63,12.34,9.82,0.337,4.02,12.04,68.7,16.89
PI656017,SC,2013,1,104,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656018,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656019,SC,2013,1,69,116,1277,23.4,30.9,4.53,17.5,4104,2.92,33.15,46.3,1451,13.08,10.89,9.69,8.6,0.32,4.59,10.53,70.1,16.37
PI656020,SC,2013,1,59,145,1106,30.7,34.3,5.44,19,4196,3.13,46.58,44.9,1758,16.07,10.96,8.26,11.97,0.404,5.98,15.04,66.2,21.29
PI656021,SC,2013,1,64,104,519,16.7,10.3,6.42,17.3,4123,2.3,50.44,55.8,1842,17.47,10.85,7.37,12.07,0.393,5.5,14.78,66.3,25.8
PI656022,SC,2013,1,61,115,901,17.5,19.1,6.62,9.4,4132,2.63,45.77,51.9,1667,17.06,10.91,6.34,11.6,0.388,5.62,14.82,67.5,23.97
PI656023,SC,2013,1,57,209,2561,25.9,67.7,3.97,18.3,4100,2.88,46,51.6,1462,12.27,10.19,10.74,8.1,0.327,3.55,10.17,70.3,16.16
PI656024,SC,2013,1,82,175,2233,24.3,56.7,4.45,16.5,4045,2.25,41.76,48.8,1396,13.65,11.13,7.3,9.04,0.333,4.44,11.07,70.8,18.21
PI656025,SC,2013,1,61,193,1426,23.5,34.3,6.06,18.9,4132,3.2,48.99,53.4,1588,13.84,10.64,9.22,9.23,0.362,4.24,11.35,65.7,18.88
PI656026,SC,2013,1,71,145,1671,25.6,42.3,4.95,13.6,4045,2.6,30.21,46.2,1316,12.66,11.11,7.93,7.59,0.313,4.26,9.49,72.7,15.88
PI656027,SC,2013,1,73,184,1076,27,29,5.1,10.4,4013,1.75,23.59,42.9,1400,13.25,10.73,9.13,7.95,0.351,4.61,10.66,70.7,13.93
PI656028,SC,2013,1,68,279,1093,27.4,31.4,5.72,17.9,4115,2.26,60.27,50.4,1448,13.6,10.02,11.56,10.44,0.342,4.3,13.08,68.7,17.59
PI656029,SC,2013,1,69,123,1174,18.6,23.2,5.23,14.4,4126,3.51,40.05,51.9,1610,13.33,10.48,9.18,8.32,0.342,4.08,10.23,67.6,19.2
PI656030,SC,2013,1,53,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656031,SC,2013,1,69,155,2024,32,65.4,4.16,12.1,4008,2.11,32.67,49.4,1166,12.59,10.73,8.97,7.52,0.295,3.93,9.49,73.4,15.59
PI656032,SC,2013,1,71,314,1654,24.3,39.4,4.62,15.7,4130,3.56,48.25,47.5,1577,12.85,10.72,7.45,8.36,0.355,4.27,10.34,70.1,17.06
PI656033,SC,2013,1,73,144,796,35.1,28.3,5.08,16.3,4110,2.47,48.62,50.9,1560,16.19,11.04,7.19,11.42,0.369,5.17,14.11,68.1,22.71
PI656034,SC,2013,1,71,205,1706,32.6,61.2,4.14,14.6,4054,2.86,29.74,48,1385,12.9,11.11,7.93,7.74,0.319,4.27,9.35,70.8,16.87
