"Taxa","Amylose2013","Protein2013","Starch2013","Fat2013","Gross_Energy2013","Amylose2014","Protein2014","Starch2014","Fat2014","Gross_Energy2014","Amylose2017","Protein2017","Starch2017","Fat2017","Gross_Energy2017"
"PI656030",0.133497734739709,0.112265672122869,0.518346154162041,0.00397633473120159,29.6164559483471,0.0133115041318865,0.212180941572016,0.837243716855011,0.0230868731653249,51.8873619522111,0.166966513578396,0.122088033655336,0.641288014858549,0.0205793401601397,38.904625545491
"PI656031",0.0678323268110003,0.0537894545380972,0.570694985052705,0.00770767348889838,27.6468279849848,0.0896830697710033,0.0812197216567972,0.609129367389541,-0.00573710213819106,27.2906159668955,-0.059975963303771,-0.0386281796945469,-0.227195908412656,-0.00231183426243693,-13.0389033037183
"PI656032",0.0207988635353313,-0.0190599642704002,0.101347464124946,0.0128808168874788,4.52927977861013,-0.0745167982331313,-0.0632804097580491,-0.261199917081622,-0.0010041383342545,-15.5404770850137,-0.0670573239488626,-0.0496738232009885,-0.0245693803979376,-0.000471839082047124,-5.86326446222302
"PI656033",0.0657637982421874,0.114595597467652,0.625693413260032,0.0139954111851199,34.0334471490243,0.0340415152249725,0.0693204986206778,0.312705494760988,0.00649847462223049,19.165422187167,0.136794818529037,0.148330632003679,0.803220614820365,0.0201577920389388,45.7986597710419
"PI656034",0.123505632797091,0.0389804601258587,0.727047415637759,0.0167504766151943,35.8304764682999,0.0210358401615701,0.041751855897473,0.312511181831262,0.00631397180430914,14.9022667724203,0.0647596663283424,0.039479969084871,0.363229439004454,-0.000326672046000044,16.6699296463895
"PI656035",0.0206966168760363,0.0209461963824552,0.00920396990113922,6.94135230325011e-05,1.04481468983481,0.0533043286690043,0.0487428816940983,0.28416256416798,0.0129693165186268,15.4072513328793,-0.0301489227985911,-0.0381928418597519,0.0186362050533702,-0.00765478878305645,-3.74602122764022
"PI656036",0.0782064301656169,0.0302918650059029,0.4171039996834,0.00607712456089517,22.6903030131702,0.0605223177103301,0.0524632952016349,0.478622315539698,0.00304830202544036,24.1124378468229,0.0133995320194794,-0.0462115302255563,0.0200787956153293,-0.0203119148846579,-5.6667936538611
"PI656037",0.0447481771932597,0.0165109502338842,0.65610345524181,0.00591175448706117,30.6473113579999,0.192856363738626,0.213431869687473,1.34373913465196,0.0233366829043862,73.7290020442824,0.0787503679767653,-0.013596195905269,0.694994806625879,-0.006900567870077,27.5695935329467
"PI656038",-0.0180639292013894,-0.0548620735612077,-0.125857441953262,-0.0103668197913447,-10.5812638394448,0.00711479661042043,-0.0552064252990811,-0.211531057345751,0.00112261029777194,-10.8329400859855,-0.0255657737696985,-0.0588148685375817,-0.207315908960089,-0.0094352538844944,-12.898150395443
"PI656039",0.00550253547915429,0.0190946395501862,0.107318719548798,-0.0115619374181473,3.1100660199932,NA,NA,NA,NA,NA,-0.103591103741705,-0.100472576383235,-0.751754229092978,-0.0146557899351673,-39.9733204176796
