"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI597957","2013","1",1,0,0,0,0,0,16.3,2.4,4066,69.4,11.49
"PI597958","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI597960","2013","1",1,0,0,0,0,0,16.9,2.23,4116,68.4,14.53
"PI597961","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI597964","2013","1",1,0,0,0,0,0,17.9,2.67,4079,70.1,9.91
"PI597965","2013","1",1,0,0,0,0,0,17.6,2.09,4058,69.3,11.48
"PI597966","2013","1",1,0,0,0,0,0,19.3,2.18,4049,69.2,10.22
"PI597967","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI597968","2013","1",1,0,0,0,0,0,17.3,2.2,4105,67.2,13.19
"PI597971","2013","1",1,0,0,0,0,0,16.9,3.49,4185,63.2,14.27
"PI597972","2013","1",1,0,0,0,0,0,12.5,2.49,4105,70.3,11.54
"PI597973","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI597976","2013","1",1,0,0,0,0,0,17.2,2.97,4112,68.1,11.68
"PI597980","2013","1",1,0,0,0,0,0,17.5,2.93,4148,66.7,13.57
"PI597982","2013","1",1,0,0,0,0,0,16,2.59,4153,68.6,12.85
"PI598069","2013","1",1,0,0,0,0,0,19.4,2.9,4126,67.5,11.59
"PI598070","2013","1",1,0,0,0,0,0,18.7,3.15,4177,66.7,14.17
"PI601816","2013","1",1,0,0,0,0,0,16,2.44,4042,71.4,9.41
"PI607931","2013","1",1,0,0,0,0,0,15.2,2.81,4094,68.3,12.01
"PI609456","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI613536","2013","1",1,0,0,0,0,0,17.2,1.29,4102,62.7,14.09
"PI629034","2013","1",1,0,0,0,0,0,19.4,2.41,4063,71.2,10.13
"PI629040","2013","1",1,0,0,0,0,0,14.7,2.23,4045,68.9,10.69
"PI629059","2013","1",1,0,0,0,0,0,14.8,2.5,4055,70.2,10.17
"PI641824","2013","1",1,0,0,0,0,0,19.1,4.2,4192,67.5,10.99
"PI641836","2013","1",1,0,0,0,0,0,17.1,3.02,4130,69.7,9.8
"PI641849","2013","1",1,0,0,0,0,0,17.4,4.11,4217,66.6,12.08
